"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2020-9-27/05/2021","02",0,"SA","Station Wagon","2007","North West","Female","018","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5023",,
"2020-10-27/05/2021","01",0,"SA","Motor Cycle","2007","South","Male","023","SA","C R ","Full","Not Towing","Straight Ahead","001","5115",,
"2020-10-27/05/2021","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Right Turn","001","XXXX",,
"2020-11-27/05/2021","01",0,"SA","Motor Cars - Sedan","2004","South East","Male","047","SA","HC","Full","Not Towing","Straight Ahead","001","5025",,
"2020-11-27/05/2021","02",0,"SA","Utility","2017","South East","Male","054","SA","LR","Full","Not Towing","Stopped on Carriageway","001","5087",,
"2020-12-27/05/2021","01",1,"SA","Motor Cycle","2005","North East","Male","047","SA","C R ","Full","Not Towing","Straight Ahead","001","5113",,
"2020-12-27/05/2021","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-13-27/05/2021","01",1,"SA","Motor Cars - Sedan","2015","North East","Male","026","SA","C ","Full","Not Towing","Swerving","002","5070",,
"2020-13-27/05/2021","02",0,,"Tree",,,,,,,,,,,,,
"2020-14-27/05/2021","01",0,"SA","Panel Van","2005","North","Male","037","SA","C ","Full","Not Towing","Right Turn","001","5085",,
"2020-14-27/05/2021","02",0,"SA","Motor Cars - Sedan","1993","West","Male","042","SA","C ","Probationary","Not Towing","Straight Ahead","001","5063",,
"2020-15-27/05/2021","01",1,"SA","Motor Cars - Sedan","1997","North","Female","054","SA","C ","Full","Not Towing","Straight Ahead","001","5043",,
"2020-15-27/05/2021","02",1,"SA","Motor Cars - Sedan","2013","East","Female","067","SA","C ","Full","Not Towing","Right Turn","001","5044",,
"2020-16-27/05/2021","01",0,"SA","Utility","2008","South West","Male","065","SA","C ","Full","Not Towing","Straight Ahead","001","5068",,
"2020-16-27/05/2021","02",0,"SA","Utility","2018","South West","Male","048","SA","C ","Full","Not Towing","U Turn","003","5214",,
"2020-17-27/05/2021","01",1,"SA","Station Wagon","2017","North West","Female","071","SA","C ","Full","Not Towing","Right Turn","002","5333",,
"2020-17-27/05/2021","02",0,"SA","Utility","2017","South West","Male","021","SA","C ","Full","Not Towing","Straight Ahead","001","5333",,
"2020-18-27/05/2021","01",0,"SA","Station Wagon","2013","West","Female","061","SA","C ","Full","Not Towing","Straight Ahead","001","5333",,
"2020-18-27/05/2021","02",0,"SA","Utility","2018","South","Male","048","SA","MR","Full","Not Towing","Straight Ahead","001","5333",,
"2020-19-27/05/2021","01",0,"SA","Motor Cars - Sedan","2011","North East","Female","054","SA","C ","Full","Not Towing","Left Turn","001","5014",,
"2020-19-27/05/2021","02",1,"SA","Scooter","2016","South East","Male","022","SA","C RD","Provisional 1 ","Not Towing","Straight Ahead","001","5045",,
"2020-20-27/05/2021","01",0,"SA","Station Wagon","2016","North West","Male","065","SA","HC","Full","Not Towing","Straight Ahead","002","5008",,
"2020-20-27/05/2021","02",0,"SA","Motor Cars - Sedan","2013","South East","Female","083","SA","C ","Full","Not Towing","Right Turn","001","5116",,
"2020-21-27/05/2021","01",1,"SA","Station Wagon","2009","West","Female","073","SA","C ","Full","Not Towing","Straight Ahead","001","5163",,
"2020-21-27/05/2021","02",2,"SA","Forward Control Passenger Van","2018","East","Male","045","SA","C ","Full","Not Towing","Straight Ahead","002","5039",,
"2020-22-27/05/2021","01",3,"SA","Motor Cars - Sedan","2006","North","Female","037","NSW","C ","Full","Not Towing","Straight Ahead","003","5047",,
"2020-22-27/05/2021","02",3,"SA","Motor Cars - Sedan","2009","North","Female","032","SA","C ","Full","Not Towing","Stopped on Carriageway","004","5024",,
"2020-22-27/05/2021","03",0,"SA","Taxi Cab","2015","North","Male","035","SA","HR","Full","Not Towing","Straight Ahead","001","5019",,
"2020-23-27/05/2021","01",0,"SA","Motor Cars - Sedan","2012","South",,,,,,"Not Towing","Parked","000",,,
"2020-23-27/05/2021","02",0,"SA","Motor Cars - Sedan","2005","South","Male","040","SA","C ","Full","Not Towing","Straight Ahead","001","5068",,
"2020-24-27/05/2021","01",0,"SA","Station Wagon","2001","West","Male","029","SA","C ","Full","Not Towing","Straight Ahead","001","5166",,
"2020-24-27/05/2021","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2020-25-27/05/2021","01",1,"SA","Motor Cars - Sedan","2017","South","Male","053","SA","C ","Full","Not Towing","Parked","001","5069",,
"2020-25-27/05/2021","02",0,"SA","Motor Cars - Sedan","2000","East","Female","046","SA","C ","Probationary","Not Towing","Straight Ahead","001","5046",,
"2020-26-27/05/2021","01",0,"SA","Motor Cars - Sedan","2004","North","Male","026","SA","C ","Full","Not Towing","Straight Ahead","001","5084",,
"2020-26-27/05/2021","02",0,"SA","Motor Cars - Sedan","2004","East","Male","079","SA","C ","Full","Not Towing","Right Turn","001","5084",,
"2020-27-27/05/2021","01",1,"SA","Motor Cars - Sedan","2005","North West","Female","058","SA","C ","Full","Not Towing","Straight Ahead","001","5108",,
"2020-27-27/05/2021","02",0,"SA","Utility","2000","North West","Male","060","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5087",,
"2020-27-27/05/2021","03",1,"SA","Motor Cycle","2005","North West","Male","048","SA","C R ","Full","Not Towing","Stopped on Carriageway","001","5012",,
"2020-28-27/05/2021","01",0,"SA","OMNIBUS","2001","North","Male","064","SA","HR","Full","Not Towing","Right Turn","003","5025",,
"2020-28-27/05/2021","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2020-29-27/05/2021","01",0,"SA","Motor Cars - Sedan","2008","North West","Female","059","SA","C ","Full","Not Towing","Straight Ahead","002","5112",,
"2020-29-27/05/2021","02",0,,"Tree",,,,,,,,,,,,,
"2020-30-27/05/2021","01",1,"SA","Station Wagon","2018","South","Female","039","SA","C ","Full","Not Towing","Straight Ahead","001","5355",,
"2020-30-27/05/2021","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2018","West","Male","026","SA","HR","Full","Not Towing","Straight Ahead","002","5072",,
"2020-31-27/05/2021","01",0,"SA","Motor Cars - Sedan","2004","South","Male","018","SA","C ","Provisional 2","Not Towing","Stopped on Carriageway","001","5169",,
"2020-31-27/05/2021","02",0,"SA","Station Wagon","2010","South","Female","029","SA","C ","Unlicenced","Not Towing","Straight Ahead","001","5171",,
"2020-31-27/05/2021","03",0,"SA","Station Wagon","2016","South","Female","037","SA","C ","Full","Not Towing","Straight Ahead","002","5214",,
"2020-31-27/05/2021","04",0,"SA","Motor Cars - Sedan","2006","South","Female","037","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5255",,
"2020-31-27/05/2021","05",0,"SA","Utility","2019","South","Male","044","SA","C ","Full","Not Towing","Straight Ahead","001","5153",,
"2020-31-27/05/2021","06",0,"SA","Station Wagon","2016","South","Female","052","SA","C ","Full","Not Towing","Straight Ahead","001","5214",,
"2020-31-27/05/2021","07",0,"SA","Station Wagon","2011","South","Male","051","SA","HRR ","Full","Not Towing","Straight Ahead","001","5210",,
"2020-32-27/05/2021","01",0,"SA","Station Wagon","2006","North East","Male","027","SA","C ","Full","Not Towing","Straight Ahead","002","5115",,
"2020-32-27/05/2021","02",0,"SA","Motor Cars - Sedan","2018","North East","Male","025","SA","C ","Probationary","Not Towing","Stopped on Carriageway","001","5118",,
"2020-33-27/05/2021","01",0,"SA","Motor Cars - Sedan","2003","North West","Male","028","SA","C ","Full","Not Towing","Right Turn","001","5116",,
"2020-33-27/05/2021","02",0,"SA","Motor Cars - Sedan","2014","South West","Male","053","SA","C ","Full","Not Towing","Straight Ahead","004","5084",,
"2020-34-27/05/2021","01",0,"SA","Motor Cars - Sedan","1998","South","Male","029","SA","C ","Full","Not Towing","Straight Ahead","001","5069",,
"2020-34-27/05/2021","02",0,"SA","Motor Cars - Sedan","2005","West","Male","036","SA","C ","Full","Not Towing","Straight Ahead","001","5006",,
"2020-35-27/05/2021","01",0,"SA","Motor Cars - Sedan","2016","North","Female","021","SA","C ","Full","Not Towing","Straight Ahead","001","5159",,
"2020-35-27/05/2021","02",0,"SA","Motor Cars - Sedan","2014","East","Female","019","SA","C ","Provisional 2","Not Towing","Leaving Private Driveway","002","5044",,
"2020-36-27/05/2021","01",2,"SA","Utility","2011","South","Male","020","SA","C ","Full","Not Towing","Straight Ahead","002","5051",,
"2020-36-27/05/2021","02",0,,"Guard Rail",,,,,,,,,,,,,
"2020-37-27/05/2021","01",0,"SA","Motor Cars - Sedan","1994","North West","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","XXXX",,
"2020-37-27/05/2021","02",0,"SA","Utility","2017","North West",,,,,,"Not Towing","Parked","000",,,
"2020-38-27/05/2021","01",0,"SA","Motor Cars - Sedan","2008","North East","Male","XXX","SA","C ","Unlicenced","Not Towing","Straight Ahead","001","5095",,
"2020-38-27/05/2021","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2020-39-27/05/2021","01",0,"SA","Station Wagon","1997","South East","Male","046","SA","C R ","Full","Not Towing","Straight Ahead","001","5460",,
"2020-39-27/05/2021","02",0,,"Tree",,,,,,,,,,,,,
"2020-40-27/05/2021","01",0,"SA","Station Wagon","2016","East","Female","038","SA","C ","Full","Not Towing","Straight Ahead","001","5037",,
"2020-40-27/05/2021","02",0,,"Pedal Cycle",,"North","Male","049",,,,,"Straight Ahead","001","5069",,
"2020-41-27/05/2021","01",1,"SA","Motor Cars - Sedan","2011","West","Female","030","SA","C ","Unlicenced","Not Towing","Right Turn","001","5085",,
"2020-41-27/05/2021","02",0,"SA","RIGID TRUCK LGE GE 4.5T","2005","East","Male","053","SA","HR","Full","Not Towing","Straight Ahead","001","5108",,
"2020-42-27/05/2021","01",0,"SA","Motor Cars - Sedan","2004","West","Male","032","SA","HCRD","Full","Not Towing","Straight Ahead","001","5092",,
"2020-42-27/05/2021","02",1,"SA","Motor Cars - Sedan","2014","West","Female","020","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5133",,
"2020-42-27/05/2021","03",0,"SA","Station Wagon","2014","West","Male","067","SA","C ","Full","Not Towing","Straight Ahead","002","5089",,
"2020-43-27/05/2021","01",0,"SA","Motor Cars - Sedan","2007","South","Male","034","QLD","MR","Full","Not Towing","Straight Ahead","004","4703",,
"2020-43-27/05/2021","02",0,"SA","Motor Cars - Sedan","2010","West","Male","058","SA","C ","Full","Not Towing","Straight Ahead","001","5063",,
"2020-44-27/05/2021","01",0,"SA","Motor Cars - Sedan","2004","West","Female","019","SA","C ","Provisional 1 ","Not Towing","Leaving Private Driveway","001","5083",,
"2020-44-27/05/2021","02",0,"SA","Station Wagon","2019","South","Female","046","SA","C ","Full","Not Towing","Straight Ahead","003","5062",,
"2020-45-27/05/2021","01",0,"SA","Station Wagon","1989","North East","Male","066","SA","HC","Full","Not Towing","Swerving","001","5575",,
"2020-45-27/05/2021","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-45-27/05/2021","03",0,,"Animal - Wild",,,,,,,,,,,,,
"2020-46-27/05/2021","01",1,"SA","Motor Cars - Sedan","1996","South","Male","054","SA","MRR ","Full","Not Towing","Straight Ahead","002","5081",,
"2020-46-27/05/2021","02",0,"SA","Motor Cars - Sedan","2008","South","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2020-47-27/05/2021","01",1,"SA","Utility","1995","North West","Male","049","SA","C ","Full","Not Towing","Straight Ahead","002","5422",,
"2020-47-27/05/2021","02",1,"SA","Station Wagon","2017","North","Male","051","SA","HR","Full","Not Towing","Straight Ahead","001","5011",,
"2020-48-27/05/2021","01",0,"SA","Station Wagon","2001","North","Female","038","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5049",,
"2020-48-27/05/2021","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-49-27/05/2021","01",0,"SA","Utility","2012","South","Male","042","SA","C ","Full","Trailer","Stopped on Carriageway","002","5158",,
"2020-49-27/05/2021","02",0,"SA","Motor Cars - Sedan","2004","South","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","5163",,
"2020-50-27/05/2021","01",0,"SA","Motor Cars - Sedan","2009","North East","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","5154",,
"2020-50-27/05/2021","02",0,"SA","Utility","2007","North East","Male","066","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5162",,
"2020-51-27/05/2021","01",3,"SA","Station Wagon","2019","North West","Female","033","SA","C ","Full","Not Towing","Straight Ahead","003","5109",,
"2020-51-27/05/2021","02",0,"SA","Motor Cars - Sedan","1998","North East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Right Turn","001","XXXX",,
"2020-52-27/05/2021","01",0,"SA","Motor Cars - Sedan","2003","North","Male","025","SA","C ","Provisional 2","Not Towing","Left Turn","002","5025",,
"2020-52-27/05/2021","02",1,"SA","Motor Cars - Sedan","2004","East","Female","062","SA","C ","Full","Not Towing","Straight Ahead","001","5070",,
"2020-53-27/05/2021","01",1,"SA","Station Wagon","2010","South West","Male","025","SA","C ","Full","Not Towing","Straight Ahead","001","5107",,
"2020-53-27/05/2021","02",0,,"Tree",,,,,,,,,,,,,
"2020-54-27/05/2021","01",0,"SA","Motor Cars - Sedan","2006","South West","Female","022","SA","C ","Full","Not Towing","Straight Ahead","001","5244",,
"2020-54-27/05/2021","02",0,,"Animal - Wild",,,,,,,,,,,,,
"2020-55-27/05/2021","01",0,"SA","Panel Van","2019","West",,,,,,"Not Towing","Parked","000",,,
"2020-55-27/05/2021","02",0,"SA","Motor Cars - Sedan","2008","West","Female","018","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5037",,
"2020-56-27/05/2021","01",0,"SA","Motor Cars - Sedan","2015","South West","Female","018","SA","C ","Provisional 1 ","Not Towing","Right Turn","001","5115",,
"2020-56-27/05/2021","02",0,"SA","Utility","2012","North East","Male","026","SA","C ","Full","Not Towing","Straight Ahead","001","5118",,
"2020-57-27/05/2021","01",0,"SA","Station Wagon","2016","South West","Male","045","SA","C ","Unlicenced","Not Towing","Straight Ahead","001","5290",,
"2020-57-27/05/2021","02",0,"SA","Motor Cars - Sedan","2003","South West","Male","027","VIC","C ","Full","Not Towing","UnParking - Parallel","002","3305",,
"2020-58-27/05/2021","01",0,"SA","Motor Cars - Sedan","1997","North East","Male","024","SA","C ","Full","Not Towing","Straight Ahead","001","5075",,
"2020-58-27/05/2021","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-58-27/05/2021","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-59-27/05/2021","01",0,"SA","Motor Cars - Sedan","2010","South","Female","065","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5168",,
"2020-59-27/05/2021","02",0,"SA","Taxi Cab","2014","South","Male","051","SA","MR","Full","Not Towing","Straight Ahead","001","5174",,
"2020-59-27/05/2021","03",0,"SA","Motor Cars - Sedan","1995","South","Male","056","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5162",,
"2020-60-27/05/2021","01",0,"SA","Motor Cars - Sedan","2013","North East","Male","028","SA","HR","Unlicenced","Not Towing","Straight Ahead","002","5251",,
"2020-60-27/05/2021","02",0,"SA","Motor Cars - Sedan","2013","North East",,,,,,"Unknown","Parked","000",,,
"2020-61-27/05/2021","01",0,"SA","Motor Cars - Sedan","1998","South East","Male","021","SA","C ","Unlicenced","Not Towing","Straight Ahead","001","5009",,
"2020-61-27/05/2021","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-62-27/05/2021","01",3,"SA","Motor Cars - Sedan","2001","North","Female","026","SA","C ","Unlicenced","Not Towing","Straight Ahead","003","5041",,
"2020-62-27/05/2021","02",0,,"Tree",,,,,,,,,,,,,
"2020-63-27/05/2021","01",0,"SA","Station Wagon","2003","North East","Female","044","UNKNOWN","XX","Unlicenced","Not Towing","Straight Ahead","002","5110",,
"2020-63-27/05/2021","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-63-27/05/2021","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-63-27/05/2021","04",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-64-27/05/2021","01",0,"SA","Motor Cars - Sedan","2018","South","Male","030","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5023",,
"2020-64-27/05/2021","02",0,"SA","OMNIBUS","2006","South","Male","065","SA","HR","Full","Not Towing","Left Turn","016","5114",,
"2020-65-27/05/2021","01",0,"SA","Motor Cars - Sedan","2015","North East","Male","069","SA","C R ","Full","Not Towing","Right Turn","001","5095",,
"2020-65-27/05/2021","02",1,"SA","Motor Cars - Sedan","2003","South West","Male","048","SA","C ","Full","Not Towing","Straight Ahead","003","5113",,
"2020-66-27/05/2021","01",0,"SA","Motor Cars - Sedan","2014","West","Male","021","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5344",,
"2020-66-27/05/2021","02",1,,"Powered Scooter (E-Scooter)",,"North","Male","043",,,,,"Straight Ahead","001","5068",,
"2020-67-27/05/2021","01",1,"SA","Station Wagon","2012","North East","Male","042","SA","C ","Full","Not Towing","Right Turn","003","5158",,
"2020-67-27/05/2021","02",0,"SA","Motor Cars - Sedan","2012","South West","Female","020","SA","C ","Provisional 2","Not Towing","Straight Ahead","002","5540",,
"2020-68-27/05/2021","01",1,"SA","Motor Cars - Sedan","2001","South East","Female","060","SA","C ","Full","Not Towing","Straight Ahead","002","5070",,
"2020-68-27/05/2021","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","South East",,,,,,"Unknown","Parked","000",,,
"2020-68-27/05/2021","03",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","South East",,,,,,"Unknown","Parked","000",,,
"2020-68-27/05/2021","04",0,,"Stobie Pole",,,,,,,,,,,,,
"2020-69-27/05/2021","01",0,"SA","Motor Cars - Sedan","2011","North East","Male","017","SA","C ","Provisional 1 ","Not Towing","Right Turn","002","5061",,
"2020-69-27/05/2021","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-70-27/05/2021","01",0,"SA","Motor Cars - Sedan","2004","South East","Male","025","SA","C ","Full","Not Towing","Straight Ahead","001","5072",,
"2020-70-27/05/2021","02",0,"SA","Station Wagon","2007","North West","Female","066","SA","C ","Full","Not Towing","Right Turn","001","5092",,
"2020-71-27/05/2021","01",1,"SA","Motor Cycle","2013","South East","Male","018","SA","RD","Learners","Not Towing","Straight Ahead","001","5162",,
"2020-71-27/05/2021","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2020-72-27/05/2021","01",1,"SA","Motor Cycle","2004","West","Female","051","SA","C R ","Full","Not Towing","Straight Ahead","001","5159",,
"2020-72-27/05/2021","02",0,"SA","Station Wagon","2005","East","Female","020","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5157",,
"2020-73-27/05/2021","01",1,"SA","Motor Cars - Sedan","2000","North","Male","026","SA","C ","Full","Not Towing","Straight Ahead","001","5081",,
"2020-73-27/05/2021","02",0,"SA","Motor Cars - Sedan","2010","South","Male","056","SA","C ","Full","Not Towing","Right Turn","001","5084",,
"2020-74-27/05/2021","01",1,"SA","Motor Cars - Sedan","2006","South","Female","075","SA","C ","Full","Not Towing","Straight Ahead","002","5068",,
"2020-74-27/05/2021","02",0,"SA","Station Wagon","2015","North East","Male","058","SA","C ","Full","Not Towing","Straight Ahead","001","5069",,
"2020-75-27/05/2021","01",0,"SA","Motor Cars - Sedan","2007","South East","Male","018","SA","C ","Provisional 2","Not Towing","Stopped on Carriageway","001","5251",,
"2020-75-27/05/2021","02",0,"SA","Station Wagon","2010","South East","Female","033","SA","C ","Full","Not Towing","Straight Ahead","001","5113",,
"2020-76-27/05/2021","01",0,"SA","Motor Cars - Sedan","2015","South","Male","020","SA","C ","Full","Not Towing","Right Turn","001","5048",,
"2020-76-27/05/2021","02",0,"SA","Motor Cars - Sedan","2014","North","Female","070","SA","C ","Full","Not Towing","Straight Ahead","001","5049",,
"2020-77-27/05/2021","01",0,"SA","Utility","1999","South","Male","056","SA","C ","Full","Not Towing","Straight Ahead","002","5021",,
"2020-77-27/05/2021","02",0,"SA","Motor Cars - Sedan","2002","West","Female","018","SA","C ","Provisional 2","Not Towing","Right Turn","001","5153",,
"2020-78-27/05/2021","01",0,"SA","Motor Cars - Sedan","2005","South West",,,,,,"Not Towing","Parked","000",,,
"2020-78-27/05/2021","02",0,"SA","Motor Cars - Sedan","2014","North West","Female","059","SA","C ","Full","Not Towing","Reversing","001","5112",,
"2020-79-27/05/2021","01",3,"SA","Station Wagon","2011","North West","Male","044","SA","HR","Full","Not Towing","Straight Ahead","005","5090",,
"2020-79-27/05/2021","02",0,"SA","Motor Cars - Sedan","2003","South West","Female","035","SA","XX","Unlicenced","Not Towing","Straight Ahead","003","5114",,
"2020-80-27/05/2021","01",0,"SA","Motor Cars - Sedan","2003","West","Male","XXX","SA","C ","Full","Not Towing","Straight Ahead","002","5159",,
"2020-80-27/05/2021","02",0,"SA","Station Wagon","2001","West","Female","019","SA","C ","Provisional 1 ","Not Towing","Stopped on Carriageway","004","5113",,
"2020-81-27/05/2021","01",1,"SA","Motor Cars - Sedan","2011","North","Female","027","SA","C ","Full","Not Towing","Straight Ahead","001","5082",,
"2020-81-27/05/2021","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2020-82-27/05/2021","01",0,"SA","Motor Cars - Sedan","2003","North","Male","021","SA","C ","Full","Not Towing","Straight Ahead","002","5108",,
"2020-82-27/05/2021","02",0,"SA","Motor Cars - Sedan","1998","South","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Right Turn","001","XXXX",,
"2020-83-27/05/2021","01",0,"SA","Motor Cars - Sedan","2008","South West","Male","033","SA","HR","Full","Not Towing","Stopped on Carriageway","001","5112",,
"2020-83-27/05/2021","02",0,"SA","Motor Cars - Tourer","2009","South West","Male","035","SA","C ","Full","Not Towing","Straight Ahead","001","5085",,
"2020-84-27/05/2021","01",0,"SA","Utility","2016","South West","Male","033","SA","C ","Full","Not Towing","Right Turn","001","5085",,
"2020-84-27/05/2021","02",0,,"Traffic Signal Pole",,,,,,,,,,,,,
"2020-85-27/05/2021","01",0,"SA","Motor Cars - Sedan","2016","South West","Male","023","SA","C ","Full","Not Towing","Straight Ahead","002","5098",,
"2020-85-27/05/2021","02",0,"SA","Motor Cars - Sedan","1997","North East",,,,,,"Unknown","Parked","000",,,
"2020-85-27/05/2021","03",0,"SA","Station Wagon","2017","North East",,,,,,"Unknown","Parked","000",,,
"2020-86-27/05/2021","01",1,"NSW","Motor Cars - Sedan","2004","North East","Male","065","NSW","HCR ","Full","Not Towing","Swerving","001","2034",,
"2020-86-27/05/2021","02",0,,"Tree",,,,,,,,,,,,,
"2020-87-27/05/2021","01",1,"SA","Motor Cars - Sedan","1998","South East","Male","026","SA","C ","Full","Not Towing","Straight Ahead","001","5256",,
"2020-87-27/05/2021","02",0,,"Tree",,,,,,,,,,,,,
"2020-88-27/05/2021","01",0,"SA","SEMI TRAILER","2000","North East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Left Turn","001","XXXX",,
"2020-88-27/05/2021","02",0,"SA","Panel Van","2015","North East","Male","056","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5097",,
"2020-88-27/05/2021","03",0,"SA","Motor Cars - Sedan","2007","North East","Male","049","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5110",,
"2020-89-27/05/2021","01",0,"SA","Motor Cars - Sedan","2019","North West","Male","056","SA","C ","Full","Not Towing","Right Turn","001","5066",,
"2020-89-27/05/2021","02",0,"SA","Station Wagon","2012","South","Unknown","XXX","SA","C ","Full","Not Towing","Straight Ahead","002","5047",,
"2020-90-27/05/2021","01",0,"SA","Motor Cars - Sedan","2003","South West","Male","032","SA","C ","Full","Not Towing","Straight Ahead","001","5159",,
"2020-90-27/05/2021","02",0,,"Guard Rail",,,,,,,,,,,,,
"2020-91-27/05/2021","01",0,"SA","Motor Cars - Sedan","2001","North West","Male","034","SA","C ","Full","Not Towing","Right Turn","001","5037",,
"2020-91-27/05/2021","02",0,"SA","Station Wagon","2014","North West","Male","056","SA","C ","Full","Not Towing","Right Turn","004","5330",,
"2020-92-27/05/2021","01",0,"SA","Station Wagon","2008","East","Female","017","SA","C ","Learners","Not Towing","Stopped on Carriageway","003","5159",,
"2020-92-27/05/2021","02",0,"SA","Motor Cars - Sedan","2003","East","Unknown","XXX","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5008",,
"2020-93-27/05/2021","01",0,"SA","Station Wagon","2008","South","Female","024","SA","C ","Full","Not Towing","Straight Ahead","001","5072",,
